,sudan,zaire,reston,bombali,bundibugyo,tai,lasv,junv,macv,lcmv,nile1,nile2,lujo,PARTIALLY_FOLDED,CPP,NON_CPP,UNFOLDED,REVIEWED_HUMAN,UNREVIEWED_HUMAN,senales,membrana,enfermedad,VIRUS_REVIEWED,VIRUS_UNREVIEWED,REVIEWED_ALL,UNREVIEWED_ALL
nile1,0.17915204511158517,0.17647931311492862,0.2064308797426558,0.15222203915093746,0.16110714573581483,0.16892819944891446,0.2314520710985743,0.1445278190321308,0.18298130968905865,0.18279249188711894,0.0,0.20039520401928237,0.17091355474036238,0.18047788766259956,0.15537467375621228,0.1905756675627089,0.1592910338142648,0.16452841691561548,0.16677750138504838,0.1598293745344134,0.1647261187908922,0.16504274412081477,0.1720808740575881,0.17465736695733278,0.15099436597486426,0.1484429278398463
nile2,0.040164969969131666,0.06089105155934793,0.048227654118877215,0.05320994818992732,0.044362138307207824,0.03448999023986947,0.052516880807171616,0.058815303444292984,0.023255745963612982,0.04104921520042592,0.20039520401928237,0.0,0.04144827317735054,0.028963988421454246,0.21241283411857814,0.1233799674724908,0.04260239944870648,0.03578540597378904,0.033364430178934854,0.049392995607075774,0.05100442966472337,0.0367192057635737,0.02600488791308028,0.02419692197547871,0.06022463492610193,0.06286232763612064
lujo,0.06633087916808363,0.07954431018144839,0.07965976988444022,0.03139806854645374,0.054128346195890936,0.048654805753864154,0.08807572531754675,0.03561103648523752,0.03445779961399083,0.06268570402063048,0.17091355474036238,0.04144827317735054,0.0,0.04382051539696992,0.19823207106728638,0.13604497927388218,0.05781452393651334,0.024710539831217064,0.020899736880188678,0.05265637644598832,0.014883564963475126,0.01909081632909883,0.025920714118313107,0.028235053793791924,0.023662268666455627,0.027241271266769094
PARTIALLY_FOLDED,0.03114172936883134,0.03548547384028809,0.035668588529467346,0.058443056752988276,0.027341234626187677,0.019501952105551175,0.046276548314283,0.06576999252060371,0.017677262440546647,0.015895462051867208,0.18047788766259956,0.028963988421454246,0.04382051539696992,0.0,0.17065515158543249,0.09252890400958112,0.022438912867061376,0.028925200754192082,0.031582672109710656,0.024501697353767206,0.05168574591537332,0.03503532262136608,0.024938066581625725,0.02501761042153447,0.05740735220934633,0.058013115281734653
CPP,0.20537757932216158,0.18146361753433837,0.1946181388436946,0.21922885166146042,0.19157729306989135,0.2015861199982517,0.18665007504702028,0.228796468164755,0.18199616337766908,0.18566498168941867,0.15537467375621228,0.21241283411857814,0.19823207106728638,0.17065515158543249,0.0,0.12594252076077178,0.15179167608206412,0.19234425586858267,0.19597585295990627,0.17801745715249598,0.20446862169868002,0.1979207217468272,0.1981803317812965,0.19672936876501784,0.19961733568274784,0.19794329125949084
NON_CPP,0.10616307267271964,0.08200021054152923,0.08746579072508696,0.15320545656176726,0.10591551733590827,0.11127091829977044,0.0787147082779194,0.1622384970998835,0.10477080097715692,0.08854527785170266,0.1905756675627089,0.1233799674724908,0.13604497927388218,0.09252890400958112,0.12594252076077178,0.0,0.06796595331231829,0.12122894616841949,0.12521628899678497,0.09851037414970555,0.14490863245304547,0.12873691357750316,0.12133563861455104,0.11997312081051277,0.14561324171539325,0.1447946695708282
UNFOLDED,0.04308338505859373,0.03222982286263792,0.028556795438846372,0.07731524792833279,0.039738226100904515,0.0360966040234611,0.029256050414051674,0.08565404826021267,0.031227489657695024,0.013634898141269926,0.1592910338142648,0.04260239944870648,0.05781452393651334,0.022438912867061376,0.15179167608206412,0.06796595331231829,0.0,0.0448902497175477,0.04848206465615373,0.03155923405538666,0.06651941019951349,0.05157327619599167,0.043077045471094165,0.04367384651889226,0.07019140144111911,0.07008375694141157
REVIEWED_HUMAN,0.043619511764426605,0.0567055348168066,0.06145662277328879,0.030313327812786436,0.02899514665857542,0.024450615112082696,0.0742945493994512,0.03830329191691658,0.02362777675257205,0.043088231608444695,0.16452841691561548,0.03578540597378904,0.024710539831217064,0.028925200754192082,0.19234425586858267,0.12122894616841949,0.0448902497175477,0.0,0.005970900573480372,0.02930106387602603,0.026617396936130296,0.008114114101160693,0.009435235048525685,0.012122485872383036,0.03147231975658822,0.031497821756939555
UNREVIEWED_HUMAN,0.04625064370821698,0.06081185032770334,0.0634648992213792,0.026770730325806416,0.03353163622056409,0.028210484206857518,0.07530330694172689,0.03426330125437346,0.024980633982316647,0.046473632319644,0.16677750138504838,0.033364430178934854,0.020899736880188678,0.031582672109710656,0.19597585295990627,0.12521628899678497,0.04848206465615373,0.005970900573480372,0.0,0.034598022989185184,0.022574861281894305,0.0038629755136499874,0.008395569210598095,0.010747427142450293,0.029141946170802277,0.030061006180724038
senales,0.02976495948881153,0.030814384875776688,0.046395237025318725,0.05605163791028202,0.010016219230624873,0.017693245096261516,0.06217127604659798,0.06487016409295428,0.030986031740860957,0.026481261073364817,0.1598293745344134,0.049392995607075774,0.05265637644598832,0.024501697353767206,0.17801745715249598,0.09851037414970555,0.03155923405538666,0.02930106387602603,0.034598022989185184,0.0,0.055074585528682454,0.03728988426281244,0.032179249754809354,0.03189520929665197,0.05667114253780227,0.05486997719818181
membrana,0.06916808741961257,0.08374432520757392,0.08730453921786421,0.014651512671280755,0.055050856461473216,0.05179729186524936,0.09838350826709412,0.017015070998571597,0.04394367838160775,0.06991108352072346,0.1647261187908922,0.05100442966472337,0.014883564963475126,0.05168574591537332,0.20446862169868002,0.14490863245304547,0.06651941019951349,0.026617396936130296,0.022574861281894305,0.055074585528682454,0.0,0.019136300270387062,0.030547579141525966,0.03222102523943703,0.011643443205723473,0.015869384418063934
enfermedad,0.0498598096885209,0.06448469215153244,0.06769650039774978,0.023288240499191367,0.03642764214840266,0.0317814980662493,0.07965075989294766,0.030721878632311142,0.02814349107334189,0.0504608848895015,0.16504274412081477,0.0367192057635737,0.01909081632909883,0.03503532262136608,0.1979207217468272,0.12873691357750316,0.05157327619599167,0.008114114101160693,0.0038629755136499874,0.03728988426281244,0.019136300270387062,0.0,0.012276578701901835,0.01446311550887794,0.02548466345623381,0.026397213250622456
VIRUS_REVIEWED,0.04001778454304499,0.05576853359662645,0.05575148402350893,0.03435492170469526,0.030107390005983736,0.022793951460837604,0.06677405813230781,0.04194863339591332,0.018344152084072193,0.03974637281148895,0.1720808740575881,0.02600488791308028,0.025920714118313107,0.024938066581625725,0.1981803317812965,0.12133563861455104,0.043077045471094165,0.009435235048525685,0.008395569210598095,0.032179249754809354,0.030547579141525966,0.012276578701901835,0.0,0.0037307988877239356,0.037564855795358926,0.03856900403912151
VIRUS_UNREVIEWED,0.03719819200149332,0.05369838796700422,0.053352492067191754,0.034572746685790225,0.028719408708340062,0.021023280264626583,0.06461544772063099,0.0420286798744637,0.019248593457337336,0.03832310521842739,0.17465736695733278,0.02419692197547871,0.028235053793791924,0.02501761042153447,0.19672936876501784,0.11997312081051277,0.04367384651889226,0.012122485872383036,0.010747427142450293,0.03189520929665197,0.03222102523943703,0.01446311550887794,0.0037307988877239356,0.0,0.03956497537951927,0.040719218047997746
REVIEWED_ALL,0.0740245605500261,0.08655174823174788,0.09306895299666867,0.0170067925802147,0.05773518099766051,0.05604301977389824,0.10540897692646674,0.016951771718740714,0.050888434728465826,0.07448303132969673,0.15099436597486426,0.06022463492610193,0.023662268666455627,0.05740735220934633,0.19961733568274784,0.14561324171539325,0.07019140144111911,0.03147231975658822,0.029141946170802277,0.05667114253780227,0.011643443205723473,0.02548466345623381,0.037564855795358926,0.03956497537951927,0.0,0.005183368112683169
UNREVIEWED_ALL,0.07341753186541379,0.0853226242877201,0.09366576815267857,0.01713732926585398,0.056057552751443855,0.055137968398984036,0.10715584887125333,0.017588934260017522,0.05208465714579396,0.07428016646881172,0.1484429278398463,0.06286232763612064,0.027241271266769094,0.058013115281734653,0.19794329125949084,0.1447946695708282,0.07008375694141157,0.031497821756939555,0.030061006180724038,0.05486997719818181,0.015869384418063934,0.026397213250622456,0.03856900403912151,0.040719218047997746,0.005183368112683169,0.0
